Name,Email,Role,App access,Groups,Date added
Taylor Knox,skyler.zhang@ext-7e0fff.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:09:26.967Z
Zara Cooper,finley.miller@ext-e02f5c.com,User,Designer,members Bootcamp_US_June_2025,2025-06-30T16:00:45.502Z
Skyler Iyer,casey.yamada@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-27T17:37:52.732Z
Parker Flynn,taylor.cooper@ext-524d8d.com,User,Designer,members Bootcamp_EMEA_February_2026 AgentCreatorBootcamp_EMEA_March_2026 AgentCreatorBootcamp_EMEA_May_2026,2026-02-22T12:14:14.096Z
Vesper Quinn,quinn.ueda@ext-e16054.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:51:52.653Z
Yuki Cooper,yael.harris@ext-34409a.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:04:28.743Z
Kai Vega,avery.iyer@ext-51acd7.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025 AgentCreatorBootcamp_EMEA_October_2025 AgentCreatorBootcamp_EMEA_November_2025,2025-06-27T15:53:12.428Z
Eden Nguyen,xen.diaz@snaplogic.com,User,Designer,members,2026-01-31T17:19:39.192Z
Tatum Miller,sage.kim@ext-387eea.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-23T05:17:37.917Z
Xen Reyes,tatum.nguyen@ext-f34ab7.com,User,Designer,members AgentCreatorBootcampSiemensEnergy,2026-07-20T09:57:38.515Z
Oakley Flynn,hayden.park@snaplogic.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:23:06.631Z
Oakley York,jordan.jensen@ext-2b7a1c.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:45:51.475Z
Blake Foster,gray.jensen@ext-26da4f.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:39:59.008Z
Gray Lopez,vale.diaz@ext-0a199e.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:05.522Z
Devon Vega,willow.miller@ext-eda065.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:29:23.586Z
Avery Park,lane.ellis@snaplogic.com,Environment admin,,members admins,2025-06-10T14:28:43.934Z
Reese Singh,yuki.knox@snaplogic.com,User,,members,2026-03-12T14:29:03.442Z
Uli Singh,xen.miller@snaplogic.com,Environment admin,Designer AutoSync,members admins AgentCreatorBootcamp_EMEA_June_2025 ExampleDemoAngelica,2025-02-18T15:57:02.313Z
Kai Diaz,avery.lopez@ext-591bfe.com,User,Designer,members Bootcamp_US_June_2025,2025-06-27T15:54:26.154Z
Xen Singh,mack.tran@ext-8de689.com,User,Designer,members,2024-02-09T12:34:26.206Z
Yael Brooks,harper.torres@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025 Infosys,2025-11-23T18:53:25.968Z
Quinn Knox,drew.adams@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:52:16.313Z
Ellis Kim,willow.reid@ext-a8f028.com,User,Designer,members,2026-03-27T16:54:06.799Z
Oakley Ibarra,nash.brooks@ext-0a199e.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:10.870Z
Yael Moss,vale.xu@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025,2025-08-11T15:57:12.548Z
Jamie Xu,reese.lopez@ext-f17098.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:57:08.067Z
Vesper Miller,tatum.tran@ext-9bcd09.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:13:03.277Z
Jamie Yamada,yuki.baker@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:11.344Z
Vesper Foster,mack.foster@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:50:00.784Z
Yael Ellis,tatum.lopez@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_June_2025 Bootcamp_US_June_2025,2023-08-28T19:51:03.476Z
Alex Nash,jordan.zhu@snaplogic.com,Environment admin,Designer,members admins AgentCreatorBootcamp_EMEA_October_2025,2025-10-06T16:10:22.344Z
Lane Holt,harper.nguyen@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-02T18:28:06.176Z
Oakley Diaz,xander.evans@ext-80929f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025,2025-08-08T15:18:41.711Z
Zara Park,mack.torres@ext-8e55ec.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:04.363Z
Zara Iyer,drew.park@snaplogic.com,User,Designer,members,2026-01-31T17:19:47.488Z
Xander Quinn,xen.diaz@ext-387eea.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2025-12-22T15:28:39.096Z
Vesper Singh,brett.baker@ext-26da4f.com,User,Designer,members Infosys AgentCreatorBootcamp_EMEA_January_2026,2026-01-06T09:06:22.920Z
Quinn Yamada,hayden.iyer@snaplogic.com,Environment admin,Designer,members admins,2024-05-12T07:06:28.925Z
Indira Garcia,vesper.york@ext-591bfe.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:28.085Z
Charlie Miller,ellis.garcia@ext-1dfcd7.com,User,Designer,members Bootcamp_EMEA_February_2026,2024-12-17T13:17:03.070Z
Oakley Nash,indira.ibarra@ext-1dfcd7.com,User,Designer,members IWC IWConnectDemos,2024-05-02T15:03:28.867Z
Zara Park,harper.xu@ext-1dfcd7.com,User,Designer,members IWC IWConnectDemos Bootcamp_EMEA_February_2026,2025-03-25T12:10:52.336Z
Gray Zhu,reese.holt@ext-5e285b.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2024-01-04T17:03:23.349Z
Indira Reid,blake.adams@snaplogic.com,Environment admin,Designer AutoSync,members admins,2024-12-02T18:27:29.426Z
Lee Foster,drew.iyer@ext-9aa82d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:39.355Z
Umber Yamada,ellis.adams@ext-9aa82d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:40:48.222Z
Eden Wang,sage.adams@ext-634bab.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 AgentCreatorBootcamp_EMEA_March_2026,2025-08-08T15:22:14.145Z
Brett Davis,vesper.utley@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-10-20T16:45:53.089Z
Morgan Brooks,drew.evans@snaplogic.com,User,Designer,members,2026-01-31T17:19:55.231Z
Uli Ortiz,finley.utley@snaplogic.com,User,Designer AutoSync,members,2024-06-18T13:22:15.799Z
Xen Zhu,reese.baker@snaplogic.com,Environment admin,Designer,members admins,2023-04-25T18:41:30.496Z
Parker Baker,brett.brooks@ext-d00c77.com,User,Designer,members Bootcamp_EMEA_February_2026,2026-02-22T12:14:36.174Z
Zion Tran,uli.ibarra@ext-08f459.com,User,,members,2024-01-11T10:23:13.119Z
Ellis Vega,ellis.zhang@ext-7bf6fa.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:33:04.651Z
Piper Torres,morgan.foster@snaplogic.com,User,Designer,members,2026-01-31T17:20:00.609Z
Skyler York,umber.johal@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-02-25T10:08:42.698Z
Hayden Evans,charlie.xu@snaplogic.com,Environment admin,Designer,members admins,2026-06-18T17:29:32.687Z
Fern Xia,kai.ellis@snaplogic.com,Environment admin,Designer,members admins,2024-05-10T18:34:21.573Z
Zion Vance,piper.york@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-08-29T15:28:10.579Z
River Evans,vale.nash@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-03-20T09:40:13.348Z
Jordan Zhang,kai.adams@snaplogic.com,User,Designer,members,2026-01-31T17:20:03.945Z
Vale Wells,willow.wang@ext-591bfe.com,User,Designer,members US_Bootcamp_August_2025,2025-08-07T14:25:55.553Z
Willow Vega,blake.reid@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 Infosys,2025-08-08T15:20:20.752Z
Taylor Moss,oakley.holt@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 Infosys,2025-08-11T07:57:02.769Z
Skyler Ortiz,mack.utley@ext-a876a8.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:14.660Z
Tatum Reid,casey.nash@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2026-03-22T19:02:27.679Z
Taylor Kim,finley.wells@ext-e808de.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:52.176Z
Nash Patel,blake.yamada@snaplogic.com,Environment admin,Designer,members admins,2025-05-19T17:09:11.920Z
Taylor Park,taylor.miller@ext-0ffece.com,User,Designer,members AgentCreatorBootcamp_EMEA_March_2026,2025-08-20T07:58:21.698Z
Vesper Zhu,wren.evans@ext-f831a9.com,User,Designer,members VeoliaAiWorkshop,2025-12-16T17:57:16.283Z
Kelly Kim,vale.holt@ext-ba0cb2.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:46:09.244Z
Indira Utley,mack.xu@ext-8b4821.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:25:49.255Z
Avery Utley,yuki.ellis@snaplogic.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026,2026-01-11T22:37:40.038Z
Fern Flynn,vesper.lopez@ext-591bfe.com,Environment admin,Designer,members admins,2024-10-10T18:23:40.275Z
Quinn Vance,drew.johal@ext-288295.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:58.845Z
Yael Adams,yael.xu@ext-591bfe.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:42:10.133Z
Xander Reid,wren.wells@ext-387285.com,User,Designer AutoSync,members AgentCreatorBootcamp_EMEA_May_2025,2025-05-18T20:54:11.434Z
Zion Xia,kelly.luna@ext-1a0582.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:42.445Z
Willow Ellis,casey.ueda@snaplogic.com,Environment admin,Designer AutoSync,members admins Bootcamp_US_June_2025 US_Bootcamp_August_2025,2025-02-18T15:55:41.041Z
Nash Lopez,charlie.lopez@ext-ef0019.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2026,2026-05-17T21:19:26.980Z
Harper Wang,yuki.kim@ext-fc167d.com,User,Designer,members AC_Bootcamp_US_February_2026,2026-01-31T18:41:45.094Z
Devon Zhu,tatum.yamada@snaplogic.com,User,Designer,members,2024-12-03T11:47:18.569Z
Nash Diaz,finley.flynn@snaplogic.com,User,,members,2025-01-14T09:35:57.932Z
Lee Tran,drew.tran@snaplogic.com,Environment admin,,members admins,2024-12-12T14:18:12.504Z
Tatum Zhang,nash.evans@snaplogic.com,User,Designer,members,2025-01-14T15:48:33.221Z
Nash Singh,lee.ortiz@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-09-20T14:38:15.531Z
Gray Brooks,wren.wang@ext-a0c84a.com,User,Designer,members,2025-05-01T13:46:58.969Z
Zion Garcia,willow.zhang@ext-e28b64.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:41.844Z
Zara Holt,gray.brooks@snaplogic.com,User,Designer,members,2026-01-31T17:20:44.691Z
Piper Singh,quinn.yamada@ext-4bd7cd.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:59:03.887Z
Piper Wang,river.nash@ext-51acd7.com,User,Designer,members AgentCreatorBootcampEMEA_June2026,2026-06-24T06:59:12.425Z
Avery Quinn,oakley.reid@ext-190a1c.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:45.039Z
Lee Ibarra,eden.zhang@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_EMEA_January_2026 Bootcamp_EMEA_February_2026,2026-01-11T22:26:29.760Z
Kelly Miller,parker.luna@ext-1dfcd7.com,User,Designer,members IWC IWConnectDemos,2024-02-22T09:57:56.697Z
Zion Ibarra,willow.tran@snaplogic.com,User,Designer,members,2026-01-31T17:20:49.171Z
Oakley Nash,kai.nguyen@ext-9c4f44.com,User,Designer,members AgentCreatorBootcamp_EMEA_May_2025 AgentCreatorBootcamp_EMEA_June_2025 Cognizant Bootcamp_EMEA_February_2026,2025-05-18T20:53:16.172Z
Xen Chen,blake.yamada@ext-7bf6fa.com,User,Designer,members AgentCreatorBootcamp_EMEA_November_2025,2025-11-23T18:47:48.383Z
Eden Holt,morgan.reyes@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_EMEA_October_2025 Infosys,2025-10-06T16:15:28.105Z
Tatum Wang,reese.knox@ext-7cce61.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-12T15:00:36.994Z
Parker Cooper,yael.singh@snaplogic.com,User,Designer,members,2026-01-31T17:20:58.427Z
Avery Vance,zara.xu@snaplogic.com,Environment admin,Designer AutoSync,members admins,2025-05-22T16:12:33.354Z
Jordan Diaz,piper.foster@snaplogic.com,Environment admin,Designer AutoSync,members admins,2023-05-03T20:12:40.500Z
Jordan Holt,blake.kim@ext-591bfe.com,User,Designer,members AgentCreatorBootcamp_AMER_May_2025,2025-05-15T15:59:24.083Z
Tatum Tran,river.xu@ext-e31cef.com,User,Designer,members Bootcamp_EMEA_February_2026,2023-09-28T07:18:55.151Z
Gray Yamada,xen.evans@snaplogic.com,User,Designer,members,2026-01-31T17:21:08.128Z
Harper Torres,yuki.vega@ext-26da4f.com,User,Designer,members AgentCreatorBootcamp_AMEA_August_2025 Infosys,2025-08-11T07:56:49.606Z
